cn_filename,instr_generation_time,instr_compilation_time,instr_linking_time,instr_median_executable_time,instr_generation_space,instr_compilation_space,instr_linking_space,instr_median_executable_space,uninstr_compilation_time,uninstr_linking_time,uninstr_median_executable_time,uninstr_compilation_space,uninstr_linking_space,uninstr_median_executable_space,executable_time_difference,executable_space_difference
driver-pp.old.c,7.18,0.11,0.03,0.02,69408.0,49904.0,38128.0,57168.0,0.04,0.03,0.0,35152.0,36816.0,1088.0,0.02,56080.0
driver-pp.new.c,0.3,0.1,0.03,0.09,55968.0,52800.0,37568.0,5584.0,0.03,0.03,0.0,34880.0,36880.0,1088.0,0.09,4496.0
